libelle,date,montant,categorie
Voisin Lyonmagvirt /,30/12/2020,30,Autres
Amzn Mktp UK*MJ,29/12/2020,"37,13",Loisirs
Chèque ,29/12/2020,30,Autres
Bouygues Telecom,28/12/2020,"24,99",Communications
Voisin Lyonpartdie /,21/12/2020,"31,25",Autres
Starbucks Lyon,21/12/2020,"3,15",Alimentation
Phie Part-dieu Lyon,21/12/2020,"15,28",Santé/Bien être
Mcdonalds ,21/12/2020,"7,75",Loisirs
Fnac Lyon Cedex ,21/12/2020,"37,1",Autres
Eram ,21/12/2020,"49,99",Habillement
Des Arts Villeurbanne,21/12/2020,2,Habitation
Des Arts Villeurbanne,21/12/2020,"3,6",Habitation
Des Arts Villeurbanne,21/12/2020,6,Habitation
Des Arts Villeurbanne,21/12/2020,2,Habitation
Decitre Lpa Lyon,21/12/2020,"21,3",Autres
Bp Villeurb Facu,18/12/2020,"1,71",Alimentation
Blablacar ,18/12/2020,"14,25",Transports
Too Good To Go Koebenhavn,17/12/2020,"3,99",Alimentation
Sodap Condrieu,15/12/2020,5,Alimentation
Sodap Condrieu,15/12/2020,5,Alimentation
Bp Villeurb Facu,15/12/2020,"1,67",Alimentation
Arici Villeurbanne,15/12/2020,"8,2",Alimentation
Arici Villeurbanne,15/12/2020,"1,7",Alimentation
Vir Inst vers Simon,14/12/2020,2,Autres
Pizza Carloni Villeurbanne ,11/12/2020,"12,5",Alimentation
UNEO/,07/12/2020,"34,94",Santé/Bien être
Des Arts Villeurbanne,07/12/2020,2,Habitation
Des Arts Villeurbanne,07/12/2020,"3,6",Habitation
Des Arts Villeurbanne,07/12/2020,6,Habitation
Des Arts Villeurbanne,07/12/2020,2,Habitation
Carrefour Market Villeurba ,07/12/2020,"57,43",Alimentation
Carrefour Market Villeurba ,04/12/2020,"13,93",Alimentation
Carrefour Market Villeurba ,02/12/2020,"7,79",Alimentation
Sodap Condrieu,01/12/2020,5,Alimentation
Bp Villeurb Facu,01/12/2020,"1,76",Alimentation
La Francaise Des Boulogne,30/11/2020,5,Loisirs
Helloasso Lw Montreuil,30/11/2020,6,Autres
Bouygues Telecom,27/11/2020,"24,99",Communications
S.l.t.c. Lyon,26/11/2020,"30,2",Transports
Too Good To Go Koebenhavn,24/11/2020,"3,99",Alimentation
Carrefour Market Villeurba ,24/11/2020,"48,92",Alimentation
Foodcheri Paris,23/11/2020,11,Alimentation
Des Arts Villeurbanne,23/11/2020,2,Habitation
Des Arts Villeurbanne,23/11/2020,2,Habitation
Des Arts Villeurbanne,23/11/2020,"3,6",Habitation
Des Arts Villeurbanne,23/11/2020,"3,6",Habitation
Arici Villeurbanne,19/11/2020,"8,5",Alimentation
Carrefour Market Villeurba ,16/11/2020,"22,03",Alimentation
Too Good To Go Koebenhavn,13/11/2020,"4,99",Alimentation
Des Arts Villeurbanne,09/11/2020,"3,6",Habitation
Des Arts Villeurbanne,09/11/2020,6,Habitation
Des Arts Villeurbanne,09/11/2020,2,Habitation
Des Arts Villeurbanne,09/11/2020,2,Habitation
Carrefour Market Villeurba ,09/11/2020,"28,84",Alimentation
Bricorama Villeurbanne,09/11/2020,"15,65",Habitation
Mutuelle Uneo,05/11/2020,"34,94",Santé/Bien être
Sodap Condrieu,04/11/2020,5,Alimentation
Sodap Condrieu,04/11/2020,5,Alimentation
Carrefour Market Villeurba ,03/11/2020,"77,47",Alimentation
Toogoodtogo ,02/11/2020,4,Alimentation
Woko Lyon,30/10/2020,"16,5",Loisirs
Pizza Carloni Villeurbanne ,30/10/2020,"12,5",Alimentation
Sodap Condrieu,28/10/2020,5,Alimentation
Bouygues Telecom,27/10/2020,"24,99",Communications
Too Good To Go Koebenhavn,27/10/2020,6,Alimentation
